id,name,lat,lon,address,city,type,trauma_level,rating,avg_response_time_mins,icu_beds_available,verified_status,phone,website,last_updated,blood_inventory.A+,blood_inventory.A-,blood_inventory.B+,blood_inventory.B-,blood_inventory.O+,blood_inventory.O-,blood_inventory.AB+,blood_inventory.AB-
31e101ce-5970-4463-9722-dafc8d68cc79,Base Hospital Delhi Cantt,28.6082403,77.1366732,,Delhi,hospital,3,4.39,14,8,False,(288)413-8527,https://anderson-aguilar.com/,2026-02-19T07:26:57.578643,13,17,22,6,1,1,18,25
ffe074fa-9208-42aa-9453-9c8b85a845b9,Saint soham hospital private,28.7983668,77.0352715,,Delhi,hospital,3,3.99,28,8,True,001-911-970-8078x78924,https://moreno-stevens.biz/,2026-02-19T07:26:57.578643,17,25,0,18,14,19,14,18
8f55855c-205a-45f8-b051-697cbcc8d516,Dr. Indra Hospital,28.7980095,77.0354003,,Delhi,hospital,3,4.81,20,8,True,+1-643-288-1599x792,http://www.miller.com/,2026-02-19T07:26:57.579448,15,5,16,22,1,13,8,9
44bd3c46-0ec2-4610-833e-d3e5e2a95f49,Dr. Rajeev Hospital,28.8006984,77.0353788,,Delhi,hospital,3,4.04,36,5,True,996.744.1338x51681,http://torres.com/,2026-02-19T07:26:57.579448,22,11,18,1,23,22,25,9
55bb0e1f-c395-4041-9212-0e1cb8ef33b6,Government hospital,28.8012625,77.0374388,,Delhi,hospital,3,4.61,44,2,True,001-426-579-7935,http://www.morrow.com/,2026-02-19T07:26:57.579448,18,4,15,19,5,17,10,24
3c0111fb-e260-4461-87f5-bd0dde643f9d,Delhi Heart and Lung Institute Super Speciality Hospital,28.6416777,77.2052683,,Delhi,hospital,3,4.91,38,8,True,(698)561-5601,http://www.cooke.com/,2026-02-19T07:26:57.579448,22,12,13,25,15,17,10,0
5d70b54f-195c-4bb4-ae6d-85adfe076908,Indraprastha Apollo Hospital,28.5408389,77.2834999,,Delhi,hospital,3,4.75,24,5,True,562.423.7786x406,https://burgess.net/,2026-02-19T07:26:57.579448,18,22,5,0,0,4,9,3
b9530ced-8629-41a6-acb6-61e40428448d,Ayushman Hospital,28.5965201,77.0493833,"Plot No. 2, Dwarka, Sector 12",Delhi,hospital,3,4.38,36,9,True,267.719.2628x242,http://www.mccall.net/,2026-02-19T07:26:57.579448,6,16,14,9,21,5,7,11
0194a094-4f13-4419-93ae-2abaf2516d56,Govt Dispensory,28.5866431,77.0573761,"Sec-10, Dwarka, Golok Dham Mandir",Delhi,hospital,3,3.75,57,8,True,240.913.2282,http://www.murphy.org/,2026-02-19T07:26:57.579448,24,6,20,6,18,17,5,24
cb3708be-11a7-416b-ba90-53301d7b31b7,Ayurvedic Mental Hospital,28.7237864,77.1497987,,Delhi,hospital,3,4.4,43,4,True,479-479-2547x8767,https://clark.info/,2026-02-19T07:26:57.579448,2,13,6,1,18,24,8,6
8b880973-da40-4a99-b7ba-aff2f465277f,Sukhda Hospital,28.5469254,77.2445375,,Delhi,hospital,3,4.26,33,6,True,373.261.0864x50223,https://www.crawford.com/,2026-02-19T07:26:57.579448,8,3,6,18,25,21,10,3
ee9d662d-229b-4d23-8ef8-44386fb6fb5e,Ram Lal Kundan Lal Orthopaedic Hospital,28.6179569,77.2866841,"Bunglow Plot no. 8, Pandav Nagar, Mayur Vihar, Patparganj",Delhi,hospital,3,4.54,27,3,True,001-589-602-6106x6803,http://stephenson.org/,2026-02-19T07:26:57.579448,6,5,9,9,12,17,25,24
89749e96-e8c4-4e43-861e-53cad8567f16,Dr. Shyama Prasad Mukherjee Chest Hospital,28.6140205,77.2898985,,Delhi,hospital,3,4.58,21,4,False,001-764-575-9284x138,https://dunn.com/,2026-02-19T07:26:57.579448,17,23,16,12,2,8,6,17
2286347b-85c5-41f0-be3f-799cde740f45,Sujan Mohinder Singh Hospital,28.5629027,77.2685753,,Delhi,hospital,3,4.4,30,7,True,955.560.6999,http://www.reid.info/,2026-02-19T07:26:57.579448,12,0,4,3,1,19,23,9
0aa18679-1927-45ea-8689-49a92e00ab02,PHC Ujjwa,28.5702527,76.9041305,Village Post Office Ujjwa,Delhi,hospital,3,3.65,58,3,True,(974)218-6067x504,http://reyes.com/,2026-02-19T07:26:57.579448,24,4,24,4,4,8,13,12
